1,1,\n
1,7,\n
2,1,\n
2,7,\n
2,11,\n
3,1,\n
3,3,\n
3,7,\n
3,19,\n
4,2,\n
4,5,\n
4,7,\n
4,20,\n
5,1,\n
5,4,\n
5,10,\n
6,1,\n
6,5,\n
6,7,\n
6,20,\n
7,1,\n
7,3,\n
7,6,\n
7,16,\n
7,20,\n
8,1,\n
8,5,\n
8,7,\n
8,11,\n
9,1,\n
9,3,\n
9,7,\n
9,19,\n
10,1,\n
10,5,\n
10,7,\n
10,16,\n
10,20,\n
11,2,\n
11,5,\n
11,6,\n
11,15,\n
11,16,\n
11,20,\n
12,2,\n
12,3,\n
12,6,\n
12,15,\n
12,16,\n
12,18,\n
12,20,\n
13,1,\n
13,5,\n
13,6,\n
13,15,\n
13,16,\n
13,20,\n
14,1,\n
14,7,\n
14,17,\n
14,20,\n
15,2,\n
15,5,\n
15,7,\n
15,15,\n
15,16,\n
15,20,\n
16,1,\n
16,3,\n
16,7,\n
16,19,\n
17,1,\n
17,7,\n
17,16,\n
17,20,\n
18,1,\n
18,6,\n
18,20,\n
19,2,\n
19,5,\n
19,6,\n
19,15,\n
19,16,\n
19,17,\n
19,20,\n
20,1,\n
20,5,\n
20,6,\n
20,16,\n
20,20,\n
21,2,\n
21,3,\n
21,7,\n
22,1,\n
22,7,\n
23,1,\n
23,7,\n
24,1,\n
24,4,\n
24,7,\n
24,19,\n
25,1,\n
25,7,\n
26,2,\n
26,3,\n
26,6,\n
26,15,\n
26,16,\n
26,19,\n
27,1,\n
27,5,\n
27,6,\n
27,17,\n
27,20,\n
28,2,\n
28,4,\n
28,5,\n
28,7,\n
28,15,\n
28,19,\n
29,2,\n
29,5,\n
29,7,\n
29,17,\n
29,18,\n
30,2,\n
30,3,\n
30,7,\n
30,15,\n
30,16,\n
30,19,\n
31,1,\n
31,6,\n
31,17,\n
31,19,\n
32,2,\n
32,5,\n
32,6,\n
32,16,\n
32,18,\n
32,20,\n
33,1,\n
33,3,\n
33,7,\n
33,13,\n
33,16,\n
33,20,\n
34,1,\n
34,3,\n
34,7,\n
34,19,\n
35,2,\n
35,3,\n
35,7,\n
35,19,\n
36,2,\n
36,7,\n
36,20,\n
37,1,\n
37,4,\n
37,7,\n
37,19,\n
38,1,\n
38,3,\n
38,7,\n
38,20,\n
39,2,\n
39,3,\n
39,7,\n
39,20,\n
40,2,\n
40,5,\n
40,6,\n
40,15,\n
40,16,\n
40,20,\n
