1,1,\n
1,2,\n
1,16,\n
1,13,\n
1,18,\n
2,3,\n
3,2,\n
3,16,\n
4,1,\n
4,2,\n
4,13,\n
4,16,\n
5,1,\n
6,4,\n
7,17,\n
8,16,\n
8,18,\n
8,19,\n
8,1,\n
9,17,\n
10,1,\n
10,18,\n
11,1,\n
11,18,\n
12,2,\n
13,1,\n
13,2,\n
13,16,\n
14,1,\n
14,2,\n
15,1,\n
15,2,\n
15,16,\n
16,9,\n
17,2,\n
17,18,\n
18,1,\n
18,2,\n
19,2,\n
19,16,\n
19,18,\n
20,2,\n
20,18,\n
21,4,\n
21,10,\n
22,4,\n
23,4,\n
24,1,\n
24,2,\n
25,1,\n
25,3,\n
26,5,\n
27,1,\n
27,2,\n
28,1,\n
28,2,\n
29,2,\n
29,15,\n
30,5,\n
31,1,\n
31,2,\n
31,13,\n
31,18,\n
32,2,\n
32,16,\n
33,2,\n
33,16,\n
34,2,\n
34,9,\n
35,2,\n
35,16,\n
36,1,\n
36,3,\n
37,1,\n
37,13,\n
38,2,\n
38,16,\n
39,1,\n
39,2,\n
40,1,\n
