1,1,\n
1,2,\n
1,16,\n
2,1,\n
2,3,\n
3,1,\n
3,2,\n
3,16,\n
4,1,\n
4,13,\n
4,16,\n
5,1,\n
6,4,\n
7,1,\n
7,17,\n
8,1,\n
8,13,\n
8,16,\n
8,18,\n
8,19,\n
9,1,\n
9,17,\n
10,1,\n
10,13,\n
10,18,\n
11,1,\n
11,13,\n
12,2,\n
13,1,\n
13,2,\n
14,1,\n
14,13,\n
14,18,\n
15,1,\n
15,2,\n
15,16,\n
16,2,\n
16,9,\n
16,16,\n
17,2,\n
17,16,\n
18,1,\n
18,2,\n
19,1,\n
19,2,\n
19,18,\n
20,1,\n
20,16,\n
21,2,\n
21,10,\n
22,2,\n
23,2,\n
24,1,\n
24,2,\n
25,1,\n
25,2,\n
26,5,\n
27,1,\n
27,2,\n
28,1,\n
28,2,\n
29,2,\n
29,16,\n
29,18,\n
30,5,\n
